ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V03584280,A380_6283,2024-06-03,5.5,"{'temp': '-5.0°C', 'pressure': '859.4 hPa', 'vibrations': '1.308300168540466 m/s²'}",0
V09863205,A320_6731,2024-06-03,6.4,"{'temp': '-16.7°C', 'pressure': '932.1 hPa', 'vibrations': '1.4085156199616917 m/s²'}",1
V03868272,B757_6092,2024-06-03,3.7,"{'temp': '5.3°C', 'pressure': '1003.8 hPa', 'vibrations': '4.083537195279521 m/s²'}",0
V05479733,A380_6907,2024-06-03,6.0,"{'temp': '7.8°C', 'pressure': '967.3 hPa', 'vibrations': '3.7818099368242697 m/s²'}",0
V06660880,B777_6740,2024-06-03,0.9,"{'temp': '4.5°C', 'pressure': '944.6 hPa', 'vibrations': '0.10343530951470947 m/s²'}",0
V08903414,CRJ900_3675,2024-06-03,5.0,"{'temp': '-3.7°C', 'pressure': '985.2 hPa', 'vibrations': '1.6687778784521838 m/s²'}",0
V02246612,E170_1544,2024-06-03,7.2,"{'temp': '25.9°C', 'pressure': '925.2 hPa', 'vibrations': '0.8304878373981517 m/s²'}",1
V00456209,B767_2803,2024-06-03,7.5,"{'temp': '-3.5°C', 'pressure': '958.8 hPa', 'vibrations': '3.559568420540069 m/s²'}",0
V04280090,B767_3878,2024-06-03,8.4,"{'temp': '9.3°C', 'pressure': '905.0 hPa', 'vibrations': '3.98717675109681 m/s²'}",0
V05622034,B747_0472,2024-06-03,4.0,"{'temp': '-9.1°C', 'pressure': '972.5 hPa', 'vibrations': '4.40456557291096 m/s²'}",0
V09893934,A330_1199,2024-06-03,10.8,"{'temp': '-17.0°C', 'pressure': '961.5 hPa', 'vibrations': '3.720230444436221 m/s²'}",1
V03114701,A340_3962,2024-06-03,7.2,"{'temp': '11.5°C', 'pressure': '911.2 hPa', 'vibrations': '3.3269655164396097 m/s²'}",0
V05115198,A320_1930,2024-06-03,4.4,"{'temp': '-4.2°C', 'pressure': '922.6 hPa', 'vibrations': '1.7770396928578376 m/s²'}",0
V07838370,A380_2079,2024-06-03,5.4,"{'temp': '12.1°C', 'pressure': '997.4 hPa', 'vibrations': '0.6292904464285093 m/s²'}",0
V01647630,B747_2389,2024-06-03,9.0,"{'temp': '10.7°C', 'pressure': '868.0 hPa', 'vibrations': '4.918508754895148 m/s²'}",0
V05691906,B747_4211,2024-06-03,5.2,"{'temp': '-4.1°C', 'pressure': '972.6 hPa', 'vibrations': '0.5029677667584254 m/s²'}",0
V00333008,A350_5568,2024-06-03,7.3,"{'temp': '-7.9°C', 'pressure': '876.5 hPa', 'vibrations': '2.20923047282324 m/s²'}",0
V02443291,A330_3411,2024-06-03,2.8,"{'temp': '-8.9°C', 'pressure': '987.3 hPa', 'vibrations': '0.4943376087696716 m/s²'}",0
V00651813,CRJ700_3181,2024-06-03,5.6,"{'temp': '8.7°C', 'pressure': '954.4 hPa', 'vibrations': '2.2521268871145006 m/s²'}",0
V08676691,A340_2793,2024-06-03,4.3,"{'temp': '2.4°C', 'pressure': '1074.1 hPa', 'vibrations': '2.695821197775294 m/s²'}",0
V04279278,B747_4824,2024-06-03,8.1,"{'temp': '-9.1°C', 'pressure': '943.0 hPa', 'vibrations': '3.8752183250997407 m/s²'}",0
V04193381,A380_0178,2024-06-03,4.7,"{'temp': '3.9°C', 'pressure': '913.3 hPa', 'vibrations': '0.36041525204422775 m/s²'}",0
V08835972,A350_3976,2024-06-03,5.7,"{'temp': '-3.1°C', 'pressure': '926.1 hPa', 'vibrations': '0.9472601309654499 m/s²'}",0
V04849483,B777_3000,2024-06-03,5.3,"{'temp': '15.2°C', 'pressure': '1018.4 hPa', 'vibrations': '4.41611158426575 m/s²'}",0
V07106765,B747_0442,2024-06-03,5.1,"{'temp': '-13.2°C', 'pressure': '829.7 hPa', 'vibrations': '0.16248056077016737 m/s²'}",1
V00922138,E175_3327,2024-06-03,6.6,"{'temp': '-7.5°C', 'pressure': '944.3 hPa', 'vibrations': '1.0722719374912253 m/s²'}",0
V03053687,A350_6902,2024-06-03,3.9,"{'temp': '5.6°C', 'pressure': '940.9 hPa', 'vibrations': '0.286613442899033 m/s²'}",0
V08649401,CRJ700_0969,2024-06-03,7.1,"{'temp': '-5.8°C', 'pressure': '983.6 hPa', 'vibrations': '2.3733709577709288 m/s²'}",0
V01339545,A320_3178,2024-06-03,4.3,"{'temp': '-10.2°C', 'pressure': '939.5 hPa', 'vibrations': '2.111007402605108 m/s²'}",0
V04318384,A340_4940,2024-06-03,3.4,"{'temp': '1.7°C', 'pressure': '1041.4 hPa', 'vibrations': '3.196663604964428 m/s²'}",0
V09413717,B767_2368,2024-06-03,7.1,"{'temp': '-10.9°C', 'pressure': '936.6 hPa', 'vibrations': '3.842014611859159 m/s²'}",0
V00876680,A380_0710,2024-06-03,6.3,"{'temp': '1.4°C', 'pressure': '1024.8 hPa', 'vibrations': '4.925560348368371 m/s²'}",0
V06783026,A320_6242,2024-06-04,6.2,"{'temp': '-14.7°C', 'pressure': '1009.1 hPa', 'vibrations': '0.015339792011828113 m/s²'}",1
V06810954,A380_5199,2024-06-04,2.1,"{'temp': '2.9°C', 'pressure': '1015.8 hPa', 'vibrations': '2.317763888323717 m/s²'}",0
V05201226,A350_3122,2024-06-04,7.7,"{'temp': '8.0°C', 'pressure': '934.2 hPa', 'vibrations': '1.9993783731813313 m/s²'}",0
V05582404,B747_3165,2024-06-04,8.3,"{'temp': '7.3°C', 'pressure': '999.9 hPa', 'vibrations': '0.8753830139272639 m/s²'}",0
V01713095,A350_6452,2024-06-04,9.8,"{'temp': '-11.4°C', 'pressure': '946.7 hPa', 'vibrations': '1.5515313798653603 m/s²'}",0
V07614206,A330_3411,2024-06-04,4.9,"{'temp': '-7.8°C', 'pressure': '957.2 hPa', 'vibrations': '0.6893014309302625 m/s²'}",0
V05744905,B747_4211,2024-06-04,7.2,"{'temp': '-12.3°C', 'pressure': '892.5 hPa', 'vibrations': '0.7257638556613283 m/s²'}",1
V03092332,A350_6902,2024-06-04,3.7,"{'temp': '-19.8°C', 'pressure': '957.1 hPa', 'vibrations': '1.2481764035669418 m/s²'}",1
V05102349,B737_0616,2024-06-04,1.7,"{'temp': '-0.3°C', 'pressure': '859.7 hPa', 'vibrations': '4.9481918643882885 m/s²'}",0
V00539141,CRJ700_1968,2024-06-04,1.1,"{'temp': '-0.9°C', 'pressure': '916.7 hPa', 'vibrations': '4.2253034268076215 m/s²'}",0
V05677508,A350_6305,2024-06-04,8.7,"{'temp': '-11.9°C', 'pressure': '885.6 hPa', 'vibrations': '3.217192584388467 m/s²'}",0
V07396424,A340_3214,2024-06-04,6.0,"{'temp': '11.6°C', 'pressure': '967.4 hPa', 'vibrations': '4.149537291677466 m/s²'}",0
V08070798,A330_5146,2024-06-04,5.2,"{'temp': '-12.6°C', 'pressure': '901.8 hPa', 'vibrations': '1.9741281278153178 m/s²'}",1
V07247007,E170_0081,2024-06-04,2.0,"{'temp': '-10.6°C', 'pressure': '957.1 hPa', 'vibrations': '1.4037471586512833 m/s²'}",0
V05798957,E170_1130,2024-06-04,1.5,"{'temp': '18.6°C', 'pressure': '937.4 hPa', 'vibrations': '4.607261698606722 m/s²'}",0
V04578433,E170_3393,2024-06-04,4.4,"{'temp': '0.6°C', 'pressure': '959.6 hPa', 'vibrations': '2.8424776882664005 m/s²'}",0
V04670188,B767_2803,2024-06-04,0.6,"{'temp': '4.6°C', 'pressure': '896.2 hPa', 'vibrations': '1.724429508074612 m/s²'}",0
V08505773,B737_3303,2024-06-04,11.7,"{'temp': '-3.5°C', 'pressure': '868.8 hPa', 'vibrations': '4.5190800279861545 m/s²'}",1
V02419454,E170_6246,2024-06-04,3.3,"{'temp': '9.8°C', 'pressure': '889.7 hPa', 'vibrations': '2.1776514271431124 m/s²'}",0
V00336373,A350_6495,2024-06-04,4.2,"{'temp': '-2.6°C', 'pressure': '970.0 hPa', 'vibrations': '0.6646441669334863 m/s²'}",0
V07276176,B777_5397,2024-06-04,0.6,"{'temp': '10.8°C', 'pressure': '900.4 hPa', 'vibrations': '4.5457422069673985 m/s²'}",0
V02773871,B757_0375,2024-06-04,4.3,"{'temp': '-9.8°C', 'pressure': '924.7 hPa', 'vibrations': '1.5871643382586675 m/s²'}",0
V00544100,B737_0789,2024-06-04,1.8,"{'temp': '-6.4°C', 'pressure': '941.9 hPa', 'vibrations': '2.42686379702083 m/s²'}",0
V00122593,A321_0473,2024-06-04,7.4,"{'temp': '-10.2°C', 'pressure': '950.6 hPa', 'vibrations': '2.8526742338777105 m/s²'}",0
V05879870,A330_0921,2024-06-04,4.7,"{'temp': '-1.6°C', 'pressure': '898.1 hPa', 'vibrations': '3.5338782476424626 m/s²'}",0
V01037863,A340_6943,2024-06-04,3.7,"{'temp': '1.6°C', 'pressure': '846.6 hPa', 'vibrations': '1.111869717765951 m/s²'}",0
V03385610,A320_1884,2024-06-04,9.8,"{'temp': '4.3°C', 'pressure': '907.3 hPa', 'vibrations': '1.763677476664518 m/s²'}",0
V03578909,A350_6092,2024-06-04,2.6,"{'temp': '-1.0°C', 'pressure': '885.1 hPa', 'vibrations': '1.0529661600787166 m/s²'}",0
V02028708,B767_2790,2024-06-04,8.0,"{'temp': '-14.9°C', 'pressure': '960.0 hPa', 'vibrations': '1.6695220980295415 m/s²'}",1
V00393387,A380_0178,2024-06-04,3.9,"{'temp': '-10.5°C', 'pressure': '961.6 hPa', 'vibrations': '1.7429702442789086 m/s²'}",0
V07686721,CRJ900_5426,2024-06-04,8.1,"{'temp': '-2.3°C', 'pressure': '855.1 hPa', 'vibrations': '3.67534446889412 m/s²'}",0
V08465274,B767_0277,2024-06-04,4.4,"{'temp': '-9.9°C', 'pressure': '997.8 hPa', 'vibrations': '0.24204170227466848 m/s²'}",0
V02665939,B767_2368,2024-06-04,6.5,"{'temp': '10.3°C', 'pressure': '997.1 hPa', 'vibrations': '2.4874101882512782 m/s²'}",0
V08703164,E170_3927,2024-06-04,2.7,"{'temp': '3.5°C', 'pressure': '974.1 hPa', 'vibrations': '2.2745718128408803 m/s²'}",0
V05844758,A350_5434,2024-06-04,5.6,"{'temp': '12.8°C', 'pressure': '929.3 hPa', 'vibrations': '1.0649973400714425 m/s²'}",0
V04265980,A330_6979,2024-06-04,7.2,"{'temp': '-2.7°C', 'pressure': '887.7 hPa', 'vibrations': '1.1200665524785836 m/s²'}",0
V04377837,B747_6297,2024-06-04,4.1,"{'temp': '-0.6°C', 'pressure': '916.8 hPa', 'vibrations': '4.266915699594881 m/s²'}",0
V07362994,A350_2655,2024-06-04,5.6,"{'temp': '-7.6°C', 'pressure': '840.5 hPa', 'vibrations': '0.6435245215158358 m/s²'}",0
V06380938,A380_2079,2024-06-04,4.5,"{'temp': '14.9°C', 'pressure': '982.9 hPa', 'vibrations': '4.5319245582703545 m/s²'}",0
V08536278,E175_2977,2024-06-04,8.7,"{'temp': '-20.0°C', 'pressure': '901.0 hPa', 'vibrations': '1.1583304422418 m/s²'}",1
V00329192,B737_0940,2024-06-04,0.6,"{'temp': '7.6°C', 'pressure': '866.4 hPa', 'vibrations': '0.701057758681719 m/s²'}",0
V03751463,B777_3776,2024-06-04,1.5,"{'temp': '5.5°C', 'pressure': '913.9 hPa', 'vibrations': '1.5853654642954313 m/s²'}",0
V05865861,A321_3707,2024-06-04,1.5,"{'temp': '5.3°C', 'pressure': '913.3 hPa', 'vibrations': '3.095245172476514 m/s²'}",0
V04379529,A320_3178,2024-06-04,4.8,"{'temp': '7.0°C', 'pressure': '925.4 hPa', 'vibrations': '2.9515029066649943 m/s²'}",0
V06527710,A330_5998,2024-06-04,8.7,"{'temp': '-1.7°C', 'pressure': '916.7 hPa', 'vibrations': '4.8626073412966875 m/s²'}",0
V04304915,B767_3878,2024-06-04,0.6,"{'temp': '5.7°C', 'pressure': '1025.7 hPa', 'vibrations': '1.9820594336042074 m/s²'}",0
V05755587,E175_5414,2024-06-04,5.8,"{'temp': '-15.6°C', 'pressure': '885.5 hPa', 'vibrations': '4.100165096914638 m/s²'}",1
V07574066,B767_4217,2024-06-04,3.4,"{'temp': '-8.1°C', 'pressure': '911.1 hPa', 'vibrations': '1.1464158770500366 m/s²'}",0
V09511050,A330_3548,2024-06-04,5.4,"{'temp': '6.5°C', 'pressure': '990.0 hPa', 'vibrations': '0.6475093279735256 m/s²'}",0
V01977052,A330_4686,2024-06-04,2.3,"{'temp': '-2.4°C', 'pressure': '862.7 hPa', 'vibrations': '0.7999439110823064 m/s²'}",0
V05578547,CRJ900_3675,2024-06-04,3.2,"{'temp': '3.7°C', 'pressure': '964.5 hPa', 'vibrations': '4.991067025691651 m/s²'}",0
V00927680,A330_3519,2024-06-04,4.8,"{'temp': '5.0°C', 'pressure': '1036.0 hPa', 'vibrations': '4.10893912152204 m/s²'}",0
V08087998,A321_5206,2024-06-04,4.2,"{'temp': '9.2°C', 'pressure': '955.3 hPa', 'vibrations': '0.14919033301343254 m/s²'}",0
V07228913,A380_6121,2024-06-04,7.9,"{'temp': '-7.6°C', 'pressure': '983.9 hPa', 'vibrations': '4.257213466863425 m/s²'}",0
V05784464,A330_4046,2024-06-04,6.5,"{'temp': '2.6°C', 'pressure': '957.3 hPa', 'vibrations': '0.9366165602788284 m/s²'}",0
V00363429,B747_4725,2024-06-04,8.6,"{'temp': '-6.8°C', 'pressure': '949.0 hPa', 'vibrations': '1.149052587918885 m/s²'}",0
V05715392,A320_4367,2024-06-04,4.5,"{'temp': '-20.7°C', 'pressure': '919.3 hPa', 'vibrations': '3.6395749073675656 m/s²'}",1
V06031079,CRJ700_3108,2024-06-04,7.9,"{'temp': '-5.8°C', 'pressure': '944.6 hPa', 'vibrations': '3.377072060509001 m/s²'}",0
V01586561,B757_6477,2024-06-04,5.6,"{'temp': '0.5°C', 'pressure': '857.5 hPa', 'vibrations': '4.367606505964548 m/s²'}",0
V05102729,CRJ700_3181,2024-06-04,5.4,"{'temp': '-23.7°C', 'pressure': '1006.0 hPa', 'vibrations': '4.5624267687278 m/s²'}",1
V09121316,CRJ700_2189,2024-06-04,3.8,"{'temp': '7.4°C', 'pressure': '871.3 hPa', 'vibrations': '3.928927162559716 m/s²'}",0
V08810945,E175_1426,2024-06-04,0.6,"{'temp': '-7.9°C', 'pressure': '971.9 hPa', 'vibrations': '3.3923697214967334 m/s²'}",0
V07259360,A380_6283,2024-06-04,0.9,"{'temp': '2.9°C', 'pressure': '942.5 hPa', 'vibrations': '1.7089606799473556 m/s²'}",0
V02321938,B777_3944,2024-06-04,8.1,"{'temp': '-8.9°C', 'pressure': '1016.0 hPa', 'vibrations': '0.7870761918270902 m/s²'}",0
V07110769,B777_5812,2024-06-04,4.3,"{'temp': '2.7°C', 'pressure': '1029.0 hPa', 'vibrations': '1.2544011866017324 m/s²'}",0
V07751859,B757_6806,2024-06-04,0.6,"{'temp': '-3.1°C', 'pressure': '915.8 hPa', 'vibrations': '3.2911442322703466 m/s²'}",0
V00922297,A320_2237,2024-06-04,5.4,"{'temp': '4.8°C', 'pressure': '905.1 hPa', 'vibrations': '1.0517160042052938 m/s²'}",0
V00568200,A340_6668,2024-06-04,3.2,"{'temp': '3.7°C', 'pressure': '1017.7 hPa', 'vibrations': '2.3634300632489573 m/s²'}",0
V09689548,B737_4369,2024-06-04,7.7,"{'temp': '9.5°C', 'pressure': '1009.2 hPa', 'vibrations': '2.202362908974206 m/s²'}",0
V08085793,A330_6095,2024-06-04,6.7,"{'temp': '2.2°C', 'pressure': '920.3 hPa', 'vibrations': '3.0127963837016836 m/s²'}",0
V00694712,E175_2805,2024-06-04,6.2,"{'temp': '-7.7°C', 'pressure': '873.2 hPa', 'vibrations': '0.6128689704836321 m/s²'}",0
V08102611,A350_3976,2024-06-04,5.3,"{'temp': '-0.2°C', 'pressure': '902.7 hPa', 'vibrations': '3.339683386633207 m/s²'}",0
V05051358,E175_2945,2024-06-04,4.1,"{'temp': '5.6°C', 'pressure': '952.8 hPa', 'vibrations': '0.16007932038840988 m/s²'}",0
V02794729,B777_4029,2024-06-04,6.9,"{'temp': '-0.6°C', 'pressure': '932.6 hPa', 'vibrations': '4.36785899124093 m/s²'}",0
V00522446,CRJ900_1943,2024-06-04,4.9,"{'temp': '-7.7°C', 'pressure': '962.8 hPa', 'vibrations': '4.914896025722417 m/s²'}",0
V04474980,A320_1930,2024-06-04,10.4,"{'temp': '10.9°C', 'pressure': '933.6 hPa', 'vibrations': '1.9039897417637035 m/s²'}",0
V01188885,E170_6353,2024-06-04,6.9,"{'temp': '-2.2°C', 'pressure': '980.7 hPa', 'vibrations': '1.2345734030927824 m/s²'}",0
V04261163,CRJ900_6738,2024-06-04,4.8,"{'temp': '3.1°C', 'pressure': '1035.7 hPa', 'vibrations': '3.4761245761523405 m/s²'}",0
V08077554,A330_2237,2024-06-04,2.2,"{'temp': '3.9°C', 'pressure': '1078.8 hPa', 'vibrations': '4.640306225650446 m/s²'}",0
V03716740,E170_2943,2024-06-04,5.8,"{'temp': '7.6°C', 'pressure': '927.8 hPa', 'vibrations': '2.6658174364834606 m/s²'}",0
V01631603,E170_2583,2024-06-04,4.5,"{'temp': '0.9°C', 'pressure': '909.1 hPa', 'vibrations': '2.516196151956281 m/s²'}",0
V06130120,B737_1936,2024-06-04,0.6,"{'temp': '18.8°C', 'pressure': '966.1 hPa', 'vibrations': '0.42895065370538943 m/s²'}",0
V05554052,A340_1505,2024-06-04,3.6,"{'temp': '12.0°C', 'pressure': '873.3 hPa', 'vibrations': '0.31599599073731943 m/s²'}",0
V07844710,A321_1460,2024-06-04,8.3,"{'temp': '8.7°C', 'pressure': '934.1 hPa', 'vibrations': '1.0095337832523865 m/s²'}",0
V01618630,A380_0594,2024-06-04,8.5,"{'temp': '2.9°C', 'pressure': '1011.7 hPa', 'vibrations': '3.3424022640733253 m/s²'}",0
V07050444,B747_2389,2024-06-04,4.2,"{'temp': '17.9°C', 'pressure': '1036.2 hPa', 'vibrations': '1.6240580449906745 m/s²'}",0
V06584722,A380_3162,2024-06-04,5.5,"{'temp': '10.4°C', 'pressure': '958.5 hPa', 'vibrations': '3.5133567706264084 m/s²'}",0
V06601952,E170_5551,2024-06-04,5.3,"{'temp': '-6.1°C', 'pressure': '920.9 hPa', 'vibrations': '1.1598209971147333 m/s²'}",0
V09596387,A330_6708,2024-06-04,4.0,"{'temp': '-11.2°C', 'pressure': '972.1 hPa', 'vibrations': '0.1422212620319674 m/s²'}",0
V01756275,B747_0472,2024-06-04,1.2,"{'temp': '2.2°C', 'pressure': '967.6 hPa', 'vibrations': '3.598317284197838 m/s²'}",0
V04907244,A330_4129,2024-06-04,4.8,"{'temp': '1.2°C', 'pressure': '938.6 hPa', 'vibrations': '3.739337531910423 m/s²'}",0
V05368435,B737_2262,2024-06-04,7.9,"{'temp': '9.3°C', 'pressure': '1025.0 hPa', 'vibrations': '2.7847760703759175 m/s²'}",0
V06961892,B747_4659,2024-06-04,3.3,"{'temp': '3.0°C', 'pressure': '944.3 hPa', 'vibrations': '2.5305506623595155 m/s²'}",0
V01547021,A320_6493,2024-06-04,2.4,"{'temp': '6.5°C', 'pressure': '940.7 hPa', 'vibrations': '2.6061710789105383 m/s²'}",0
V06151343,B767_4965,2024-06-04,5.8,"{'temp': '-13.9°C', 'pressure': '933.9 hPa', 'vibrations': '4.9345911833572735 m/s²'}",1
V00373105,B747_4824,2024-06-04,8.7,"{'temp': '20.7°C', 'pressure': '956.8 hPa', 'vibrations': '3.7573988779929457 m/s²'}",1
V07037970,A380_0710,2024-06-04,5.9,"{'temp': '-4.6°C', 'pressure': '929.3 hPa', 'vibrations': '3.821667840917719 m/s²'}",0
V07783242,B757_2908,2024-06-04,5.1,"{'temp': '-24.7°C', 'pressure': '927.4 hPa', 'vibrations': '1.4182403047010295 m/s²'}",1
V04345620,A321_1968,2024-06-04,9.7,"{'temp': '-0.8°C', 'pressure': '1080.1 hPa', 'vibrations': '4.230231661289351 m/s²'}",0
V05590224,E170_4783,2024-06-04,5.5,"{'temp': '9.4°C', 'pressure': '917.4 hPa', 'vibrations': '3.8131773228248416 m/s²'}",0
V00364123,CRJ900_4821,2024-06-04,3.4,"{'temp': '16.7°C', 'pressure': '928.0 hPa', 'vibrations': '4.12686374761271 m/s²'}",0
V05090845,CRJ700_0969,2024-06-04,7.6,"{'temp': '16.5°C', 'pressure': '911.6 hPa', 'vibrations': '3.8509802636997374 m/s²'}",0
V03364448,B777_0122,2024-06-04,5.3,"{'temp': '2.3°C', 'pressure': '973.7 hPa', 'vibrations': '3.761385434649914 m/s²'}",0
V00155519,A340_3614,2024-06-04,6.8,"{'temp': '11.0°C', 'pressure': '869.2 hPa', 'vibrations': '3.6987783708648196 m/s²'}",0
